,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
,,,,,,1100,0.218957,0.2079048,0.1597054,0.2812822,0.1321506,-0.06201378,-0.0251,0.1333718,-0.1151766,0.0689155,0.4132382
,,,,,,1200,0.2118598,0.209401,0.172082,0.2722878,0.1343696,-0.03838512,-0.03237,0.09741712,-0.08198722,0.05533002,0.4032676
,,,,,,1300,0.2117012,0.2069212,0.1772732,0.2693536,0.1347504,-0.03411464,-0.02692,0.07269908,-0.06437572,0.05271198,0.466591
38,0.3,0.2,0.2,0.2,0.1,1000,0.333612,0.206369,0.148954,0.2270022,0.08406264,-0.1427998,-0.02269,0.2213546,-0.1187822,0.06291852,0.396126
,,,,,,1100,0.324551,0.2056062,0.165711,0.218593,0.08553882,-0.11230534,-0.01845,0.1592056,-0.08861766,0.06016502,0.410006
,,,,,,1200,0.3148872,0.2084992,0.175446,0.2125832,0.0885846,-0.0563716,-0.03339,0.09698456,-0.05089032,0.04366958,0.4085338
,,,,,,1300,0.3020874,0.2098958,0.1938964,0.203734,0.09038658,-0.007822954,-0.03661,0.03118735,-0.022128908,0.03536982,0.4177684
39,0.2,0.3,0.2,0.2,0.1,1000,0.219977,0.3071468,0.1655084,0.2214844,0.0858839,-0.09297976,-0.02137,0.1633438,-0.10839616,0.05940138,0.3969928
,,,,,,1100,0.2068792,0.3067532,0.1861522,0.2090958,0.09111958,-0.015638969,-0.02486,0.04052594,-0.030083106,0.03005478,0.3912958
,,,,,,1200,0.2085542,0.3062356,0.188155,0.2071082,0.08994696,-0.030728209,-0.0236,0.04804748,-0.03278486,0.03907,0.4015446
,,,,,,1300,0.205178,0.3093376,0.1873082,0.2074644,0.0907124,-0.01318986,-0.03367,0.04144868,-0.0249487,0.03036058,0.3974798
40,0.2,0.2,0.3,0.2,0.1,1000,0.2459084,0.2125006,0.212539,0.2493374,0.07971414,-0.2082838,-0.04776,0.39995,-0.2263458,0.08244166,0.4343216
,,,,,,1100,0.231155,0.2077148,0.2428798,0.2357162,0.08253416,-0.1232088,-0.02941,0.2349902,-0.1506364,0.0682684,0.4233438
,,,,,,1200,0.2201172,0.2070124,0.265866,0.22141,0.08559468,-0.0711735,-0.01969,0.11531808,-0.07347682,0.04902366,0.3828288
,,,,,,1300,0.2124686,0.2064184,0.2786564,0.2139226,0.0885341,-0.0546125,-0.02367,0.09818572,-0.06301548,0.0431085,0.4076258
